Label,LONG,LAT
aquaculture,105.77255513200004,19.412352957000053
aquaculture,105.77264233100004,19.412420124000047
aquaculture,105.80521723400004,19.473309769000025
aquaculture,105.80530676800004,19.47317550200006
aquaculture,105.80520286000008,19.47317192300005
aquaculture,105.80521742500008,19.47321996100004
aquaculture,105.80527626900005,19.472908370000027
aquaculture,105.80538868700006,19.473127814000065
aquaculture,105.80544413900007,19.47317057000004
aquaculture,105.80527056900009,19.47328531700004
aquaculture,105.80522783900004,19.47299447300003
aquaculture,105.80530255300005,19.47296452800004
aquaculture,105.80537462800004,19.473073962000058
aquaculture,105.80519451800006,19.47310569600006
aquaculture,105.80538343600004,19.47293195700007
aquaculture,105.78954965200006,19.420832947000065
aquaculture,105.78931608600004,19.42092149100005
aquaculture,105.78936969500006,19.420891913000048
aquaculture,105.78953070200004,19.421032740000044
aquaculture,105.78953680900008,19.420912884000074
aquaculture,105.78932641900008,19.420970687000025
aquaculture,105.78947232900003,19.42090022700006
aquaculture,105.78945507500003,19.420979021000047
aquaculture,105.78941478400009,19.42079842000004
aquaculture,105.78921980300004,19.420966227000065
aquaculture,105.78929533000009,19.42110042500008
aquaculture,105.80485474400004,19.459466360000025
aquaculture,105.80494578800004,19.459318134000057
aquaculture,105.80480305200004,19.45943873500005
aquaculture,105.80505422700008,19.45944946300005
aquaculture,105.80464174100004,19.459317997000028
aquaculture,105.80470517800006,19.45944564300004
aquaculture,105.80483191400003,19.458833464000065
aquaculture,105.80473763800006,19.45941106300006
aquaculture,105.80463861300008,19.459454464000032
aquaculture,105.80488614700003,19.45894323300007
aquaculture,105.80485766800004,19.459372810000048
aquaculture,105.80483345800008,19.45922171600005
aquaculture,105.80517399500008,19.45932970500008
aquaculture,105.80503005100007,19.45936043800004
aquaculture,105.80488922400008,19.459516946000065
aquaculture,105.80484575500007,19.458876323000027
aquaculture,105.80512283900003,19.459424247000072
aquaculture,105.80566162300003,19.459428807000048
aquaculture,105.80527812600008,19.459444003000044
aquaculture,105.80578086300004,19.45950563300005
aquaculture,105.80571560600004,19.45945154800006
aquaculture,105.80538582500007,19.45944320500007
aquaculture,105.80535468500004,19.459581765000053
aquaculture,105.80559450000004,19.45941094900008
aquaculture,105.80564203200004,19.459546346000025
aquaculture,105.80561840000009,19.45947858300008
aquaculture,105.80572051100006,19.45955064800006
aquaculture,105.80579411900004,19.459571836000062
aquaculture,105.80547696900004,19.459352668000065
aquaculture,105.80520122000009,19.459506558000044
aquaculture,105.80430630200004,19.47187787000007
aquaculture,105.80433848600006,19.47200995300005
aquaculture,105.80442911100003,19.471595970000067
aquaculture,105.80451955600005,19.471980578000057
aquaculture,105.80427950200004,19.472054016000072
aquaculture,105.80458263500007,19.47188769400003
aquaculture,105.80405318500004,19.471589567000024
aquaculture,105.80427531300006,19.471789175000023
aquaculture,105.80435130200004,19.472087423000065
aquaculture,105.80417738200003,19.472054653000043
aquaculture,105.80420515000009,19.47192617500008
aquaculture,105.80414529400008,19.47193778900004
aquaculture,105.80407994100004,19.471670991000053
aquaculture,105.80411806700003,19.47174724500008
