OID_,LAT,LONG,SymbolID
1 ,19.8456917,105.9363785,0
2 ,19.8455372,105.9366531,0
3 ,19.8455849,105.9366074,0
4 ,19.8454971,105.9366684,0
5 ,19.8456650,105.9362411,0
6 ,19.8456802,105.9364548,0
7 ,19.8455067,105.9368057,0
8 ,19.8453751,105.9367905,0
9 ,19.8454189,105.9368439,0
10 ,19.8456440,105.9362030,0
11 ,19.8457432,105.9363861,0
12 ,19.8454514,105.9368286,0
13 ,19.8457413,105.9363556,0
14 ,19.8456879,105.9362869,0
15 ,19.8456783,105.9362183,0
16 ,19.8454990,105.9366150,0
17 ,19.8457165,105.9361572,0
18 ,19.8454437,105.9368057,0
19 ,19.8457451,105.9363098,0
20 ,19.8455601,105.9365845,0
21 ,19.8454666,105.9368286,0
22 ,19.8455505,105.9366074,0
23 ,19.8454380,105.9367218,0
24 ,19.8455200,105.9367218,0
25 ,19.8457470,105.9363403,0
26 ,19.8455524,105.9366150,0
27 ,19.8454323,105.9368439,0
28 ,19.8457279,105.9363403,0
29 ,19.8456955,105.9363632,0
30 ,19.8454266,105.9367752,0
31 ,19.8456154,105.9366074,0
32 ,19.8454514,105.9368057,0
33 ,19.8454876,105.9367065,0
34 ,19.8457642,105.9363251,0
35 ,19.8457699,105.9361725,0
36 ,19.8455658,105.9366913,0
37 ,19.8456688,105.9362259,0
38 ,19.8457184,105.9363480,0
39 ,19.8455868,105.9365692,0
40 ,19.8454533,105.9366760,0
41 ,19.8455048,105.9367065,0
42 ,19.8454819,105.9367371,0
43 ,19.8454685,105.9366074,0
44 ,19.8456402,105.9362564,0
45 ,19.8455715,105.9367294,0
46 ,19.8457470,105.9362030,0
47 ,19.8455429,105.9366379,0
48 ,19.8455238,105.9366531,0
49 ,19.8454018,105.9367905,0
50 ,19.8455067,105.9367981,0
51 ,19.8455696,105.9365692,0
52 ,19.8454075,105.9367065,0
53 ,19.8454151,105.9368973,0
54 ,19.8454895,105.9366837,0
55 ,19.8454781,105.9366837,0
56 ,19.8454247,105.9368591,0
57 ,19.8457203,105.9362869,0
58 ,19.8454857,105.9366379,0
59 ,19.8455067,105.9367905,0
60 ,19.8454094,105.9366989,0
61 ,19.8457565,105.9363861,0
62 ,19.8454227,105.9366989,0
63 ,19.8454952,105.9367294,0
64 ,19.8454533,105.9368057,0
65 ,19.8455563,105.9365692,0
66 ,19.8456974,105.9363708,0
67 ,19.8454838,105.9368362,0
68 ,19.8455658,105.9366379,0
69 ,19.8454418,105.9366760,0
70 ,19.8455372,105.9366226,0
71 ,19.8458366,105.9362640,0
72 ,19.8456402,105.9362335,0
73 ,19.8454437,105.9366226,0
74 ,19.8454285,105.9367599,0
75 ,19.8454170,105.9366913,0
76 ,19.8457508,105.9362793,0
77 ,19.8457851,105.9363632,0
78 ,19.8457069,105.9364319,0
79 ,19.8457527,105.9361877,0
80 ,19.8457718,105.9362717,0
81 ,19.8456478,105.9364471,0
82 ,19.8457603,105.9363251,0
83 ,19.8454685,105.9367828,0
84 ,19.8455582,105.9366531,0
85 ,19.8457241,105.9363937,0
86 ,19.8454895,105.9366531,0
87 ,19.8455238,105.9367828,0
88 ,19.8453827,105.9368286,0
89 ,19.8457012,105.9363708,0
90 ,19.8455639,105.9366837,0
91 ,19.8456726,105.9362640,0
92 ,19.8457661,105.9362640,0
93 ,19.8455715,105.9365921,0
94 ,19.8458099,105.9362411,0
95 ,19.8455734,105.9365387,0
96 ,19.8455601,105.9367447,0
97 ,19.8455925,105.9366379,0
98 ,19.8455029,105.9368286,0
99 ,19.8457394,105.9362564,0
100 ,19.8453865,105.9367676,0
101 ,19.8823776,105.7646561,0
102 ,19.8823051,105.7649460,0
103 ,19.8826408,105.7647934,0
104 ,19.8834763,105.7643509,0
105 ,19.8831730,105.7645340,0
106 ,19.8823605,105.7644272,0
107 ,19.8815136,105.7642288,0
108 ,19.8825817,105.7657471,0
109 ,19.8835030,105.7643738,0
110 ,19.8824501,105.7654953,0
111 ,19.8827209,105.7658386,0
112 ,19.8829613,105.7653885,0
113 ,19.8816547,105.7644806,0
114 ,19.8824730,105.7645798,0
115 ,19.8823032,105.7650452,0
116 ,19.8814030,105.7639236,0
117 ,19.8827400,105.7659225,0
118 ,19.8825874,105.7652588,0
119 ,19.8826046,105.7653885,0
120 ,19.8823967,105.7648010,0
121 ,19.8825436,105.7648544,0
122 ,19.8827858,105.7651138,0
123 ,19.8826122,105.7650681,0
124 ,19.8815289,105.7642975,0
125 ,19.8819885,105.7645264,0
126 ,19.8827190,105.7649231,0
127 ,19.8829670,105.7645111,0
128 ,19.8831234,105.7652206,0
129 ,19.8821068,105.7648773,0
130 ,19.8818913,105.7641907,0
131 ,19.8829880,105.7645798,0
132 ,19.8827286,105.7645264,0
133 ,19.8816967,105.7643585,0
134 ,19.8829021,105.7658539,0
135 ,19.8824348,105.7657700,0
